2026-08-08T08:01:11.647656+09:00 三国 1R skip: odds3t=74件 tan=0件
2026-08-08T08:15:57.149978+09:00 三国 1R skip: odds3t=119件 tan=2件
2026-08-08T08:15:57.149978+09:00 鳴門 1R skip: odds3t=120件 tan=2件
2026-08-08T08:31:09.387211+09:00 三国 2R skip: odds3t=120件 tan=2件
2026-08-08T08:31:09.387211+09:00 鳴門 1R skip: odds3t=120件 tan=4件
2026-08-08T08:45:50.510686+09:00 鳴門 2R skip: odds3t=120件 tan=1件
2026-08-08T08:45:50.510686+09:00 三国 2R skip: odds3t=120件 tan=4件
2026-08-08T09:01:09.226760+09:00 鳴門 2R skip: odds3t=120件 tan=4件
2026-08-08T09:01:09.226760+09:00 三国 3R skip: odds3t=120件 tan=3件
2026-08-08T09:01:09.226760+09:00 鳴門 3R skip: odds3t=120件 tan=2件
2026-08-08T09:15:57.009345+09:00 三国 3R skip: odds3t=120件 tan=3件
2026-08-08T09:15:57.009345+09:00 三国 4R skip: odds3t=120件 tan=3件
2026-08-08T09:15:57.009345+09:00 鳴門 3R skip: odds3t=120件 tan=2件
2026-08-08T09:31:13.675937+09:00 三国 4R skip: odds3t=120件 tan=3件
2026-08-08T09:31:13.675937+09:00 鳴門 4R skip: odds3t=120件 tan=1件
2026-08-08T09:45:59.972543+09:00 三国 5R skip: odds3t=120件 tan=3件
2026-08-08T09:45:59.972543+09:00 鳴門 4R skip: odds3t=120件 tan=2件
2026-08-08T10:01:11.099656+09:00 津 1R skip: odds3t=120件 tan=3件
2026-08-08T10:01:11.099656+09:00 三国 5R skip: odds3t=120件 tan=5件
2026-08-08T10:01:11.099656+09:00 鳴門 5R skip: odds3t=120件 tan=2件
2026-08-08T10:16:00.861968+09:00 児島 1R skip: odds3t=120件 tan=4件
2026-08-08T10:16:00.861968+09:00 徳山 1R ok
2026-08-08T10:16:00.861968+09:00 鳴門 5R skip: odds3t=120件 tan=2件
2026-08-08T10:16:00.861968+09:00 三国 6R skip: odds3t=120件 tan=3件
2026-08-08T10:16:00.861968+09:00 津 1R skip: odds3t=120件 tan=3件
2026-08-08T10:16:00.861968+09:00 戸田 1R skip: odds3t=120件 tan=2件
2026-08-08T10:31:02.357476+09:00 徳山 1R ok
2026-08-08T10:31:02.357476+09:00 宮島 1R skip: odds3t=120件 tan=4件
2026-08-08T10:31:02.357476+09:00 児島 1R ok
2026-08-08T10:31:02.357476+09:00 戸田 1R skip: odds3t=120件 tan=4件
2026-08-08T10:31:02.357476+09:00 三国 6R skip: odds3t=120件 tan=4件
2026-08-08T10:31:02.357476+09:00 鳴門 6R skip: odds3t=120件 tan=3件
2026-08-08T10:31:02.357476+09:00 津 2R skip: odds3t=120件 tan=1件
2026-08-08T10:46:00.692850+09:00 戸田 2R skip: odds3t=120件 tan=3件
2026-08-08T10:46:00.692850+09:00 児島 2R skip: odds3t=120件 tan=1件
2026-08-08T10:46:00.692850+09:00 宮島 1R skip: odds3t=120件 tan=5件
2026-08-08T10:46:00.692850+09:00 徳山 2R ok
2026-08-08T10:46:00.692850+09:00 鳴門 6R skip: odds3t=120件 tan=4件
2026-08-08T10:46:00.692850+09:00 津 2R skip: odds3t=120件 tan=1件
2026-08-08T10:46:00.692850+09:00 三国 7R skip: odds3t=120件 tan=3件
