既存キャッシュ: 1107件
ホールドアウト 42525レース / 未取得 41418件を取得する

  300/41418 (成功 300) 4.0件/秒 残り約169分
  600/41418 (成功 600) 4.6件/秒 残り約148分
  900/41418 (成功 900) 4.8件/秒 残り約141分
  1200/41418 (成功 1200) 4.9件/秒 残り約137分
  1500/41418 (成功 1500) 5.0件/秒 残り約134分
  1800/41418 (成功 1800) 5.0件/秒 残り約132分
  2100/41418 (成功 2100) 5.0件/秒 残り約130分
  2400/41418 (成功 2400) 5.1件/秒 残り約128分
  2700/41418 (成功 2700) 5.1件/秒 残り約127分
  3000/41418 (成功 3000) 5.1件/秒 残り約126分
  3300/41418 (成功 3300) 5.1件/秒 残り約124分
  3600/41418 (成功 3600) 5.1件/秒 残り約123分
  3900/41418 (成功 3900) 5.1件/秒 残り約122分
  4200/41418 (成功 4200) 5.1件/秒 残り約121分
  4500/41418 (成功 4500) 5.1件/秒 残り約120分
  4800/41418 (成功 4800) 5.1件/秒 残り約119分
  5100/41418 (成功 5100) 5.1件/秒 残り約118分
  5400/41418 (成功 5400) 5.2件/秒 残り約116分
  5700/41418 (成功 5700) 5.2件/秒 残り約115分
  6000/41418 (成功 6000) 5.2件/秒 残り約114分
  6300/41418 (成功 6300) 5.2件/秒 残り約113分
  6600/41418 (成功 6600) 5.2件/秒 残り約112分
  6900/41418 (成功 6900) 5.2件/秒 残り約111分
  7200/41418 (成功 7200) 5.2件/秒 残り約110分
  7500/41418 (成功 7500) 5.2件/秒 残り約109分
  7800/41418 (成功 7800) 5.2件/秒 残り約108分
  8100/41418 (成功 8100) 5.2件/秒 残り約107分
  8400/41418 (成功 8400) 5.2件/秒 残り約106分
  8700/41418 (成功 8700) 5.2件/秒 残り約105分
  9000/41418 (成功 9000) 5.2件/秒 残り約104分
  9300/41418 (成功 9300) 5.2件/秒 残り約103分
  9600/41418 (成功 9600) 5.2件/秒 残り約102分
  9900/41418 (成功 9900) 5.2件/秒 残り約101分
  10200/41418 (成功 10200) 5.2件/秒 残り約100分
  10500/41418 (成功 10500) 5.2件/秒 残り約99分
  10800/41418 (成功 10800) 5.2件/秒 残り約98分
  11100/41418 (成功 11100) 5.2件/秒 残り約97分
  11400/41418 (成功 11400) 5.2件/秒 残り約96分
  11700/41418 (成功 11700) 5.2件/秒 残り約95分
  12000/41418 (成功 12000) 5.2件/秒 残り約94分
  12300/41418 (成功 12300) 5.2件/秒 残り約93分
  12600/41418 (成功 12600) 5.2件/秒 残り約92分
  12900/41418 (成功 12900) 5.2件/秒 残り約91分
  13200/41418 (成功 13200) 5.2件/秒 残り約90分
  13500/41418 (成功 13500) 5.2件/秒 残り約89分
  13800/41418 (成功 13800) 5.2件/秒 残り約88分
  14100/41418 (成功 14100) 5.2件/秒 残り約87分
  14400/41418 (成功 14400) 5.2件/秒 残り約87分
  14700/41418 (成功 14700) 5.2件/秒 残り約86分
  15000/41418 (成功 15000) 5.2件/秒 残り約85分
  15300/41418 (成功 15300) 5.2件/秒 残り約84分
  15600/41418 (成功 15600) 5.2件/秒 残り約83分
  15900/41418 (成功 15900) 5.2件/秒 残り約82分
  16200/41418 (成功 16200) 5.2件/秒 残り約81分
  16500/41418 (成功 16500) 5.2件/秒 残り約80分
  16800/41418 (成功 16800) 5.2件/秒 残り約79分
  17100/41418 (成功 17100) 5.2件/秒 残り約78分
  17400/41418 (成功 17400) 5.2件/秒 残り約77分
  17700/41418 (成功 17700) 5.2件/秒 残り約76分
  18000/41418 (成功 18000) 5.2件/秒 残り約75分
  18300/41418 (成功 18300) 5.2件/秒 残り約74分
  18600/41418 (成功 18600) 5.2件/秒 残り約73分
  18900/41418 (成功 18900) 5.2件/秒 残り約72分
  19200/41418 (成功 19200) 5.2件/秒 残り約71分
  19500/41418 (成功 19500) 5.2件/秒 残り約70分
  19800/41418 (成功 19800) 5.2件/秒 残り約69分
  20100/41418 (成功 20100) 5.2件/秒 残り約68分
  20400/41418 (成功 20400) 5.2件/秒 残り約67分
